vessel_id,country,shiptype
4639feb302547e3903ce3c3f51424fcad13a92508ab3daea0fdbda562f23de39,,
2c46b2c29086c03cb774fa3fb0d9f4c22a793eb7e740321b5f17518a343dfc1e,Albania,52.0
65d24830f3884827d091152b8422c3ad125ce16a87a4ca125ba466818aa39b50,Albania,40.0
9c85b935e6adfb37a058d42700148ebac634af54398188377c375e11e0c32ca6,Albania,70.0
d3fc29d4cbbfc1c47bc8ad7e5753086f6c611c5447cbb5fb220efc5a413499e5,Albania,52.0
fd588b6bc87bcc55f1ddd455100010ae489735052c69b394634eb9dccaf8d0c8,Albania,70.0
076a83102c1366efcc41a282d746c05f7e768e4f0e686edbabf24ae65c385572,Albania,0.0
549cfa623a3cbb93c3fa39fd9efde124efee44c4fba080dbd14db5b7f2ee3ec9,Albania,55.0
eef00bb12df500e873156fe387954875e1d97e178de4755bd652fc2ff3535724,Albania,70.0
e13e8b6808debd11abcf7f74d98629dca1c5220ac8ef74c687123a0f4a1a6c3c,Albania,70.0
b9a72d325aae18f7d45ef7e5343f42271390ee3b89ec0b3fc05ed49fc4a4b695,Albania,52.0
2f38a460329508e05c2db4f564b24b8979a441f26ce21962070ee2c077179152,Albania,70.0
fc056ebc9f4f07f100477112d792324de356817858877d9fd05142c61e051aa4,Albania,52.0
6f9698e0ee0a0eba4b9bf2a20a6493176ecfd58251820549528c1a1a7669311c,Albania,60.0
9261ecdf1e4b0cb388b4c9d7cec97d16e00c5dcfd2478a3e13549046af168841,Albania,52.0
74ac87030b496c05de9345ec9755e655519b06877c67f15f489eb5e908eb4a3d,Albania,30.0
b8bf5ec556e240811749eb69f6803ffc357977793ddd307096ef8f72618d8018,Albania,37.0
ed4f3d7eab11fcb828f8bdf9eb8e45d2ff1cda8939cfcf5e44f3d9557ca2267f,Austria,37.0
8cf0feaf27e9a6c7b878b6f67cb6a544db9ed9daee3c77da43f0cfbb9ab7f93e,Belgium,36.0
